experiment,feature_count,features_used,optimal_threshold,precision,recall,f05,f1,roc_auc
Exp A: Name Only,11,name_exact;name_normalized_exact;name_levenshtein;name_jaccard;name_token_overlap;name_token_set_ratio;name_char_3gram_jaccard;name_length_difference;name_token_count_difference;common_name_tokens;name_contains_other,0.55,0.6922,0.5094,0.6459,0.5869,0.9887
Exp B: Name + Address,24,name_exact;name_normalized_exact;name_levenshtein;name_jaccard;name_token_overlap;name_token_set_ratio;name_char_3gram_jaccard;name_length_difference;name_token_count_difference;common_name_tokens;name_contains_other;address_exact;address_normalized_exact;address_levenshtein;address_jaccard;address_token_overlap;address_token_set_ratio;address_char_3gram_jaccard;address_length_difference;address_token_count_difference;common_address_tokens;address_contains_other;building_number_match;locality_match,0.85,0.9788,0.9318,0.969,0.9547,0.9994
Exp C: Name + Address + Structured,26,name_exact;name_normalized_exact;name_levenshtein;name_jaccard;name_token_overlap;name_token_set_ratio;name_char_3gram_jaccard;name_length_difference;name_token_count_difference;common_name_tokens;name_contains_other;address_exact;address_normalized_exact;address_levenshtein;address_jaccard;address_token_overlap;address_token_set_ratio;address_char_3gram_jaccard;address_length_difference;address_token_count_difference;common_address_tokens;address_contains_other;building_number_match;locality_match;country_match;candidate_source_is_s2,0.8,0.9871,0.949,0.9792,0.9677,0.9999
